City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,Aspen,39.1911,-106.8175,297.19,33,0,2.06,US,1689961061
229,Isafjordur,66.0755,-23.124,283.17,81,75,4.12,IS,1689961771
230,Grytviken,-54.2811,-36.5092,274.46,98,100,5.56,GS,1689961270
231,Debre Birhan,9.6833,39.5333,286.58,78,100,0.67,ET,1689961295
232,Tralee,52.2704,-9.7026,288.29,77,100,5.14,IE,1689961295
233,Taoudenni,22.6783,-3.9836,318.59,6,1,4.29,ML,1689961295
234,Albany,42.6001,-73.9662,299.39,79,49,2.38,US,1689961084
235,Coishco,-9.0231,-78.6156,293.42,83,100,6.12,PE,1689961295
236,Steamboat Springs,40.485,-106.8317,297.22,40,0,2.06,US,1689961295
237,Puerto Natales,-51.7236,-72.4875,272.06,96,100,1.9,CL,1689961660
238,Kzyltu,53.6364,72.3414,292.47,63,78,6.36,KZ,1689961295
239,Margaret River,-33.95,115.0667,286.67,66,2,2.05,AU,1689961770
240,Princeton,25.5384,-80.4089,307.6,65,75,3.09,US,1689961296
241,Klyuchi,52.2667,79.1667,292.79,70,90,4.53,RU,1689961296
242,Vila Velha,-20.3297,-40.2925,296.12,71,75,4.63,BR,1689961296
243,Ubinskoye,55.3068,79.6802,290.36,86,58,3.54,RU,1689961296
244,Kasumkent,41.6773,48.146,295.91,70,0,2.18,RU,1689961296
245,Tazovsky,67.4667,78.7,291.31,65,95,3.21,RU,1689961296
246,Crane,31.3974,-102.3501,308.31,23,43,7.85,US,1689961771
247,Yellowknife,62.456,-114.3525,297.44,46,100,3.6,CA,1689961273
248,Pisco,-13.7,-76.2167,292.6,88,75,3.6,PE,1689961297
249,Udachny,66.4167,112.4,289.51,82,71,3.63,RU,1689961280
250,Waitangi,-43.9535,-176.5597,284.16,95,100,4.02,NZ,1689961769
251,Chonchi,-42.6128,-73.8092,282.1,97,100,3.54,CL,1689961297
252,Adamstown,-25.066,-130.1015,294.01,70,41,13.82,PN,1689961772
253,Port-Aux-Francais,-49.35,70.2167,273.61,61,94,17.75,TF,1689961178
254,Labrador City,52.9463,-66.9114,293.1,49,75,7.2,CA,1689961214
255,Iqaluit,63.7506,-68.5145,280.0,87,75,3.6,CA,1689961284
256,Rayong,12.8333,101.4333,299.53,99,100,2.08,TH,1689961297
257,Grytviken,-54.2811,-36.5092,274.46,98,100,5.56,GS,1689961270
258,Waitangi,-43.9535,-176.5597,284.16,95,100,4.02,NZ,1689961769
259,Adamstown,-25.066,-130.1015,294.01,70,41,13.82,PN,1689961772
260,Agde,43.3108,3.4758,303.07,37,0,9.77,FR,1689961298
261,Kingscliff,-28.2667,153.5667,284.69,93,6,1.03,AU,1689961005
262,Port-Aux-Francais,-49.35,70.2167,273.61,61,94,17.75,TF,1689961178
263,Tsiombe,-25.3,45.4833,291.78,65,98,6.55,MG,1689961293
264,Pisco,-13.7,-76.2167,292.6,88,75,3.6,PE,1689961297
265,Juneau,58.3019,-134.4197,289.94,98,100,3.6,US,1689961298
266,Lihue,21.9789,-159.3672,299.92,81,75,8.23,US,1689961229
267,Port-Aux-Francais,-49.35,70.2167,273.61,61,94,17.75,TF,1689961178
268,Longyearbyen,78.2186,15.6401,281.06,81,75,6.69,SJ,1689961272
269,Edinburgh Of The Seven Seas,-37.0676,-12.3116,285.19,60,100,7.79,SH,1689961178
270,Basco,20.4487,121.9702,302.34,77,7,5.41,PH,1689961299
271,Atafu Village,-8.5421,-172.5159,301.72,74,94,4.55,TK,1689961180
272,Invercargill,-46.4,168.35,273.16,99,11,0.89,NZ,1689961557
273,Nandlstadt,48.5333,11.8,294.49,72,0,4.63,DE,1689961299
274,Nova Sintra,14.8667,-24.7167,296.32,82,18,7.33,CV,1689961299
275,Utrik,11.2278,169.8474,301.49,76,91,9.54,MH,1689961282
276,Bilibino,68.0546,166.4372,291.85,60,77,1.19,RU,1689961778
277,Iqaluit,63.7506,-68.5145,280.0,87,75,3.6,CA,1689961284
278,Yellowknife,62.456,-114.3525,297.44,46,100,3.6,CA,1689961273
279,Cestos City,5.46,-9.5828,298.8,82,87,6.4,LR,1689961300
280,Morondava,-20.2833,44.2833,297.22,80,0,7.89,MG,1689961300
281,Lobujya,27.95,86.8167,276.81,91,73,2.15,NP,1689961300
282,Avarua,-21.2078,-159.775,295.18,68,40,9.26,CK,1689961300
283,Uray,60.1247,64.7758,289.36,78,70,3.85,RU,1689961300
284,Mosjoen,65.836,13.1908,291.44,63,40,2.68,NO,1689961301
285,Port-Aux-Francais,-49.35,70.2167,273.61,61,94,17.75,TF,1689961178
